2026-06-14 13:06:21 | INFO | __main__ | Pipeline command started | command=broker-guardrails
2026-06-14 13:06:21 | INFO | src.broker_guardrails.guardrail_runner | Broker guardrail variant 1/1 | name=min_risk_10pips_spread_ratio_10pct
2026-06-14 13:06:21 | INFO | src.backtest.backtest_engine | START load candles and calculate indicators
2026-06-14 13:06:21 | INFO | src.backtest.backtest_engine | DONE load candles and calculate indicators | elapsed=0.0s
2026-06-14 13:06:21 | INFO | src.backtest.backtest_engine | START generate strategy signals
2026-06-14 13:06:22 | INFO | src.backtest.backtest_engine | DONE generate strategy signals | elapsed=0.6s
2026-06-14 13:06:22 | INFO | src.backtest.backtest_engine | Signals generated | accepted=649, rejected=15,494
2026-06-14 13:06:22 | INFO | src.backtest.backtest_engine | Execution progress | signal=1/649, trades=0, balance=10000.00
2026-06-14 13:06:25 | INFO | src.backtest.backtest_engine | Execution progress | signal=25/649, trades=14, balance=10252.03
2026-06-14 13:06:30 | INFO | src.backtest.backtest_engine | Execution progress | signal=50/649, trades=33, balance=10702.58
2026-06-14 13:06:34 | INFO | src.backtest.backtest_engine | Execution progress | signal=75/649, trades=50, balance=11130.43
2026-06-14 13:06:41 | INFO | src.backtest.backtest_engine | Execution progress | signal=100/649, trades=70, balance=11332.75
2026-06-14 13:06:48 | INFO | src.backtest.backtest_engine | Execution progress | signal=125/649, trades=87, balance=11366.83
2026-06-14 13:06:54 | INFO | src.backtest.backtest_engine | Execution progress | signal=150/649, trades=109, balance=11347.18
2026-06-14 13:07:04 | INFO | src.backtest.backtest_engine | Execution progress | signal=175/649, trades=128, balance=11559.04
2026-06-14 13:07:08 | INFO | src.backtest.backtest_engine | Execution progress | signal=200/649, trades=147, balance=11597.58
2026-06-14 13:07:14 | INFO | src.backtest.backtest_engine | Execution progress | signal=225/649, trades=164, balance=11964.25
2026-06-14 13:07:19 | INFO | src.backtest.backtest_engine | Execution progress | signal=250/649, trades=184, balance=12220.78
2026-06-14 13:07:25 | INFO | src.backtest.backtest_engine | Execution progress | signal=275/649, trades=201, balance=12521.90
2026-06-14 13:07:30 | INFO | src.backtest.backtest_engine | Execution progress | signal=300/649, trades=218, balance=13129.52
2026-06-14 13:07:37 | INFO | src.backtest.backtest_engine | Execution progress | signal=325/649, trades=233, balance=13225.85
2026-06-14 13:07:44 | INFO | src.backtest.backtest_engine | Execution progress | signal=350/649, trades=249, balance=13398.81
2026-06-14 13:07:48 | INFO | src.backtest.backtest_engine | Execution progress | signal=375/649, trades=267, balance=13526.63
2026-06-14 13:07:55 | INFO | src.backtest.backtest_engine | Execution progress | signal=400/649, trades=281, balance=13774.75
2026-06-14 13:08:00 | INFO | src.backtest.backtest_engine | Execution progress | signal=425/649, trades=294, balance=13868.49
2026-06-14 13:08:05 | INFO | src.backtest.backtest_engine | Execution progress | signal=450/649, trades=315, balance=14150.51
2026-06-14 13:08:13 | INFO | src.backtest.backtest_engine | Execution progress | signal=475/649, trades=334, balance=14378.85
2026-06-14 13:08:20 | INFO | src.backtest.backtest_engine | Execution progress | signal=500/649, trades=352, balance=14819.05
2026-06-14 13:08:28 | INFO | src.backtest.backtest_engine | Execution progress | signal=525/649, trades=366, balance=15059.70
2026-06-14 13:08:33 | INFO | src.backtest.backtest_engine | Execution progress | signal=550/649, trades=385, balance=15096.06
2026-06-14 13:08:37 | INFO | src.backtest.backtest_engine | Execution progress | signal=575/649, trades=403, balance=15575.91
2026-06-14 13:08:40 | INFO | src.backtest.backtest_engine | Execution progress | signal=600/649, trades=420, balance=15860.66
2026-06-14 13:08:42 | INFO | src.backtest.backtest_engine | Execution progress | signal=625/649, trades=435, balance=16266.81
2026-06-14 13:08:45 | INFO | src.backtest.backtest_engine | Execution progress | signal=649/649, trades=450, balance=16509.10
2026-06-14 13:08:45 | INFO | src.backtest.backtest_engine | START write backtest reports | output=/Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/broker_guardrails/20260614_120621_usdjpy_fx_swing_trend_reclaim_v1/variants/min_risk_10pips_spread_ratio_10pct
2026-06-14 13:08:46 | INFO | src.backtest.backtest_engine | DONE write backtest reports | elapsed=0.7s
2026-06-14 13:08:46 | INFO | src.backtest.backtest_engine | Backtest complete | trades=450, ending_balance=16509.10, reports=/Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/broker_guardrails/20260614_120621_usdjpy_fx_swing_trend_reclaim_v1/variants/min_risk_10pips_spread_ratio_10pct
2026-06-14 13:08:46 | INFO | __main__ | Pipeline command completed | command=broker-guardrails
Broker guardrail report: /Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/broker_guardrails/20260614_120621_usdjpy_fx_swing_trend_reclaim_v1/broker_guardrail_report.html
