event_id,event_time_utc,country,currency,event_name,impact,actual,forecast,previous,source
2022-01-05-usd-fomc-member-kashkari-speaks-991ecc24,2022-01-05T11:00:00Z,United States,USD,FOMC Member Kashkari Speaks,HIGH,,,,nasdaq_economic_calendar
2022-01-05-usd-ism-manufacturing-employment-ad27ddc1,2022-01-05T11:00:00Z,United States,USD,ISM Manufacturing Employment,HIGH,54.2,53.5,53.3,nasdaq_economic_calendar
2022-01-05-usd-ism-manufacturing-new-orders-index-5588e525,2022-01-05T11:00:00Z,United States,USD,ISM Manufacturing New Orders Index,HIGH,60.4,,61.5,nasdaq_economic_calendar
2022-01-05-usd-ism-manufacturing-pmi-83c4f01d,2022-01-05T11:00:00Z,United States,USD,ISM Manufacturing PMI,HIGH,58.7,60.0,61.1,nasdaq_economic_calendar
2022-01-05-usd-ism-manufacturing-prices-ec4d9887,2022-01-05T11:00:00Z,United States,USD,ISM Manufacturing Prices,HIGH,68.2,79.5,82.4,nasdaq_economic_calendar
2022-01-05-usd-jolts-job-openings-0cc2e47e,2022-01-05T11:00:00Z,United States,USD,JOLTS Job Openings,HIGH,10.562M,11.075M,11.091M,nasdaq_economic_calendar
2022-01-06-usd-adp-nonfarm-employment-change-1e3a982e,2022-01-06T09:15:00Z,United States,USD,ADP Nonfarm Employment Change,HIGH,807K,400K,505K,nasdaq_economic_calendar
2022-01-06-usd-fomc-meeting-minutes-d2a8ec60,2022-01-06T15:00:00Z,United States,USD,FOMC Meeting Minutes,HIGH,,,,nasdaq_economic_calendar
2022-01-07-usd-ism-non-manufacturing-business-activity-5eb824e5,2022-01-07T11:00:00Z,United States,USD,ISM Non-Manufacturing Business Activity,HIGH,67.6,71.0,74.6,nasdaq_economic_calendar
2022-01-07-usd-ism-non-manufacturing-employment-e96f413d,2022-01-07T11:00:00Z,United States,USD,ISM Non-Manufacturing Employment,HIGH,54.9,,56.5,nasdaq_economic_calendar
2022-01-07-usd-ism-non-manufacturing-new-orders-0fb834e0,2022-01-07T11:00:00Z,United States,USD,ISM Non-Manufacturing New Orders,HIGH,61.5,,69.7,nasdaq_economic_calendar
2022-01-07-usd-ism-non-manufacturing-pmi-62e77d5b,2022-01-07T11:00:00Z,United States,USD,ISM Non-Manufacturing PMI,HIGH,62.0,66.9,69.1,nasdaq_economic_calendar
2022-01-07-usd-ism-non-manufacturing-prices-38823228,2022-01-07T11:00:00Z,United States,USD,ISM Non-Manufacturing Prices,HIGH,82.5,,82.3,nasdaq_economic_calendar
2022-01-07-jpy-cpi-tokyo-ex-food-and-energy-af8793b3,2022-01-07T19:30:00Z,Japan,JPY,CPI Tokyo Ex Food and Energy,HIGH,0.0%,,-0.1%,nasdaq_economic_calendar
2022-01-07-jpy-tokyo-cpi-ce1032fa,2022-01-07T19:30:00Z,Japan,JPY,Tokyo CPI,HIGH,0.8%,,0.5%,nasdaq_economic_calendar
2022-01-07-jpy-tokyo-core-cpi-c28f27b1,2022-01-07T19:30:00Z,Japan,JPY,Tokyo Core CPI,HIGH,0.5%,0.5%,0.3%,nasdaq_economic_calendar
2022-01-08-usd-average-hourly-earnings-950c1f01,2022-01-08T09:30:00Z,United States,USD,Average Hourly Earnings,HIGH,0.6%,0.4%,0.4%,nasdaq_economic_calendar
2022-01-08-usd-average-hourly-earnings-yoy-09d32a7c,2022-01-08T09:30:00Z,United States,USD,Average Hourly Earnings (YoY),HIGH,4.7%,4.2%,5.1%,nasdaq_economic_calendar
2022-01-08-usd-nonfarm-payrolls-209891d2,2022-01-08T09:30:00Z,United States,USD,Nonfarm Payrolls,HIGH,199K,400K,249K,nasdaq_economic_calendar
2022-01-08-usd-private-nonfarm-payrolls-cd2fa62a,2022-01-08T09:30:00Z,United States,USD,Private Nonfarm Payrolls,HIGH,211K,365K,270K,nasdaq_economic_calendar
2022-01-08-usd-u6-unemployment-rate-5ddc1992,2022-01-08T09:30:00Z,United States,USD,U6 Unemployment Rate,HIGH,7.3%,,7.7%,nasdaq_economic_calendar
2022-01-08-usd-unemployment-rate-666b9373,2022-01-08T09:30:00Z,United States,USD,Unemployment Rate,HIGH,3.9%,4.1%,4.2%,nasdaq_economic_calendar
2022-01-08-usd-fomc-member-daly-speaks-91d25170,2022-01-08T11:00:00Z,United States,USD,FOMC Member Daly Speaks,HIGH,,,,nasdaq_economic_calendar
2022-01-08-usd-fomc-member-bostic-speaks-ad630dab,2022-01-08T13:15:00Z,United States,USD,FOMC Member Bostic Speaks,HIGH,,,,nasdaq_economic_calendar
2022-01-08-usd-fomc-member-barkin-speaks-1aea2295,2022-01-08T13:30:00Z,United States,USD,FOMC Member Barkin Speaks,HIGH,,,,nasdaq_economic_calendar
2022-01-11-usd-fomc-member-bostic-speaks-2fb75cd1,2022-01-11T13:00:00Z,United States,USD,FOMC Member Bostic Speaks,HIGH,,,,nasdaq_economic_calendar
2022-01-12-usd-fomc-member-mester-speaks-1f7f85ec,2022-01-12T10:00:00Z,United States,USD,FOMC Member Mester Speaks,HIGH,,,,nasdaq_economic_calendar
2022-01-12-usd-fomc-member-george-speaks-4a2aace3,2022-01-12T10:30:00Z,United States,USD,FOMC Member George Speaks,HIGH,,,,nasdaq_economic_calendar
2022-01-12-jpy-reuters-tankan-index-b8756d76,2022-01-12T19:00:00Z,Japan,JPY,Reuters Tankan Index,HIGH,17,,22,nasdaq_economic_calendar
2022-01-12-jpy-boj-governor-kuroda-speaks-c242d128,2022-01-12T21:00:00Z,Japan,JPY,BoJ Governor Kuroda Speaks,HIGH,,,,nasdaq_economic_calendar
2022-01-13-usd-cpi-152e864f,2022-01-13T09:30:00Z,United States,USD,CPI,HIGH,0.5%,0.4%,0.8%,nasdaq_economic_calendar
2022-01-13-usd-cpi-index-n-s-a-d69b7cd2,2022-01-13T09:30:00Z,United States,USD,"CPI Index, n.s.a.",HIGH,278.80,278.74,277.95,nasdaq_economic_calendar
2022-01-13-usd-cpi-index-s-a-b7b1fca7,2022-01-13T09:30:00Z,United States,USD,"CPI Index, s.a",HIGH,280.19,,278.88,nasdaq_economic_calendar
2022-01-13-usd-cpi-n-s-a-711b9e26,2022-01-13T09:30:00Z,United States,USD,"CPI, n.s.a",HIGH,0.31%,,0.49%,nasdaq_economic_calendar
2022-01-13-usd-core-cpi-18e10209,2022-01-13T09:30:00Z,United States,USD,Core CPI,HIGH,0.6%,0.5%,0.5%,nasdaq_economic_calendar
2022-01-13-usd-core-cpi-index-0e545295,2022-01-13T09:30:00Z,United States,USD,Core CPI Index,HIGH,284.76,,283.20,nasdaq_economic_calendar
2022-01-13-usd-fomc-member-brainard-speaks-505859b7,2022-01-13T11:00:00Z,United States,USD,FOMC Member Brainard Speaks,HIGH,,,,nasdaq_economic_calendar
2022-01-13-usd-cleveland-cpi-a2d2cb85,2022-01-13T12:00:00Z,United States,USD,Cleveland CPI,HIGH,0.4%,,0.5%,nasdaq_economic_calendar
2022-01-13-usd-fomc-member-kashkari-speaks-c3054a17,2022-01-13T14:00:00Z,United States,USD,FOMC Member Kashkari Speaks,HIGH,,,,nasdaq_economic_calendar
2022-01-14-usd-fomc-member-harker-speaks-7bfb2fec,2022-01-14T09:00:00Z,United States,USD,FOMC Member Harker Speaks,HIGH,,,,nasdaq_economic_calendar
2022-01-14-usd-core-ppi-25f7a790,2022-01-14T09:30:00Z,United States,USD,Core PPI,HIGH,0.5%,0.5%,0.9%,nasdaq_economic_calendar
2022-01-14-usd-ppi-7369f8f6,2022-01-14T09:30:00Z,United States,USD,PPI,HIGH,9.7%,9.8%,9.8%,nasdaq_economic_calendar
2022-01-14-usd-fomc-member-brainard-speaks-c551399c,2022-01-14T11:00:00Z,United States,USD,FOMC Member Brainard Speaks,HIGH,,,,nasdaq_economic_calendar
2022-01-15-usd-core-retail-sales-9cfe5144,2022-01-15T09:30:00Z,United States,USD,Core Retail Sales,HIGH,-2.3%,0.2%,0.1%,nasdaq_economic_calendar
2022-01-15-usd-retail-sales-7dec49cf,2022-01-15T09:30:00Z,United States,USD,Retail Sales,HIGH,-1.9%,-0.1%,0.2%,nasdaq_economic_calendar
2022-01-15-usd-retail-sales-ex-gas-autos-28c48cf6,2022-01-15T09:30:00Z,United States,USD,Retail Sales Ex Gas/Autos,HIGH,-2.5%,,-0.1%,nasdaq_economic_calendar
2022-01-15-usd-industrial-production-7ad095d0,2022-01-15T10:15:00Z,United States,USD,Industrial Production,HIGH,-0.1%,0.3%,0.7%,nasdaq_economic_calendar
2022-01-15-usd-fomc-member-harker-speaks-78450cad,2022-01-15T11:00:00Z,United States,USD,FOMC Member Harker Speaks,HIGH,,,,nasdaq_economic_calendar
2022-01-15-usd-michigan-consumer-expectations-f36d200a,2022-01-15T11:00:00Z,United States,USD,Michigan Consumer Expectations,HIGH,65.9,66.5,68.3,nasdaq_economic_calendar
2022-01-15-usd-michigan-consumer-sentiment-ef069a03,2022-01-15T11:00:00Z,United States,USD,Michigan Consumer Sentiment,HIGH,68.8,70.0,70.6,nasdaq_economic_calendar
2022-01-15-usd-fomc-member-williams-speaks-f3d6e199,2022-01-15T12:00:00Z,United States,USD,FOMC Member Williams Speaks,HIGH,,,,nasdaq_economic_calendar
2022-01-18-jpy-boj-interest-rate-decision-a5c43d63,2022-01-18T22:46:00Z,Japan,JPY,BoJ Interest Rate Decision,HIGH,-0.10%,-0.10%,-0.10%,nasdaq_economic_calendar
2022-01-18-jpy-boj-monetary-policy-statement-c2f24642,2022-01-18T23:00:00Z,Japan,JPY,BoJ Monetary Policy Statement,HIGH,,,,nasdaq_economic_calendar
2022-01-18-jpy-boj-outlook-report-3a0bf22e,2022-01-18T23:00:00Z,Japan,JPY,BoJ Outlook Report,HIGH,,,,nasdaq_economic_calendar
2022-01-18-jpy-boj-press-conference-bf61deaa,2022-01-18T23:00:00Z,Japan,JPY,BoJ Press Conference,HIGH,,,,nasdaq_economic_calendar
2022-01-19-jpy-industrial-production-c0ba3b70,2022-01-19T00:30:00Z,Japan,JPY,Industrial Production,HIGH,7.0%,7.2%,1.8%,nasdaq_economic_calendar
2022-01-20-jpy-adjusted-trade-balance-a8b41792,2022-01-20T19:50:00Z,Japan,JPY,Adjusted Trade Balance,HIGH,-0.44T,,-0.47T,nasdaq_economic_calendar
2022-01-20-jpy-trade-balance-053540d2,2022-01-20T19:50:00Z,Japan,JPY,Trade Balance,HIGH,-582.4B,-784.1B,-955.6B,nasdaq_economic_calendar
2022-01-21-jpy-cpi-n-s-a-3e134d7d,2022-01-21T19:30:00Z,Japan,JPY,"CPI, n.s.a",HIGH,0.0%,,0.2%,nasdaq_economic_calendar
2022-01-21-jpy-national-cpi-3e54a637,2022-01-21T19:30:00Z,Japan,JPY,National CPI,HIGH,0.8%,,0.6%,nasdaq_economic_calendar
2022-01-21-jpy-national-core-cpi-f0ef4b23,2022-01-21T19:30:00Z,Japan,JPY,National Core CPI,HIGH,0.5%,0.6%,0.5%,nasdaq_economic_calendar
2022-01-21-jpy-monetary-policy-meeting-minutes-68fa5748,2022-01-21T19:50:00Z,Japan,JPY,Monetary Policy Meeting Minutes,HIGH,,,,nasdaq_economic_calendar
2022-01-26-jpy-boj-core-cpi-0822769f,2022-01-26T01:00:00Z,Japan,JPY,BoJ Core CPI,HIGH,0.9%,0.7%,0.8%,nasdaq_economic_calendar
2022-01-26-usd-cb-consumer-confidence-d95c22f1,2022-01-26T11:00:00Z,United States,USD,CB Consumer Confidence,HIGH,113.8,111.8,115.2,nasdaq_economic_calendar
2022-01-26-jpy-boj-summary-of-opinions-aae0e6c1,2022-01-26T19:50:00Z,Japan,JPY,BoJ Summary of Opinions,HIGH,,,,nasdaq_economic_calendar
2022-01-27-usd-fomc-statement-b57d3557,2022-01-27T15:00:00Z,United States,USD,FOMC Statement,HIGH,,,,nasdaq_economic_calendar
2022-01-27-usd-fed-interest-rate-decision-4de0abe4,2022-01-27T15:00:00Z,United States,USD,Fed Interest Rate Decision,HIGH,0.25%,0.25%,0.25%,nasdaq_economic_calendar
2022-01-27-usd-fomc-press-conference-04a147f1,2022-01-27T15:30:00Z,United States,USD,FOMC Press Conference,HIGH,,,,nasdaq_economic_calendar
2022-01-28-usd-core-durable-goods-orders-2d84fda4,2022-01-28T09:30:00Z,United States,USD,Core Durable Goods Orders,HIGH,0.4%,0.4%,1.1%,nasdaq_economic_calendar
2022-01-28-usd-core-pce-prices-7f6f7129,2022-01-28T09:30:00Z,United States,USD,Core PCE Prices,HIGH,4.90%,4.90%,4.60%,nasdaq_economic_calendar
2022-01-28-usd-durable-goods-orders-f2386031,2022-01-28T09:30:00Z,United States,USD,Durable Goods Orders,HIGH,-0.9%,-0.5%,3.2%,nasdaq_economic_calendar
