2026-06-14 10:50:03 | INFO | __main__ | Pipeline command started | command=monte-carlo-stress
2026-06-14 10:50:03 | INFO | src.stress.monte_carlo_runner | Start stress scenario | name=trade_shuffle | iterations=5000
2026-06-14 10:50:06 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=trade_shuffle | iteration=1000/5000
2026-06-14 10:50:10 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=trade_shuffle | iteration=2000/5000
2026-06-14 10:50:13 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=trade_shuffle | iteration=3000/5000
2026-06-14 10:50:16 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=trade_shuffle | iteration=4000/5000
2026-06-14 10:50:19 | INFO | src.stress.monte_carlo_runner | Start stress scenario | name=bootstrap_resample | iterations=5000
2026-06-14 10:50:22 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=bootstrap_resample | iteration=1000/5000
2026-06-14 10:50:26 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=bootstrap_resample | iteration=2000/5000
2026-06-14 10:50:29 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=bootstrap_resample | iteration=3000/5000
2026-06-14 10:50:32 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=bootstrap_resample | iteration=4000/5000
2026-06-14 10:50:36 | INFO | src.stress.monte_carlo_runner | Start stress scenario | name=block_bootstrap_5 | iterations=5000
2026-06-14 10:50:40 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_5 | iteration=1000/5000
2026-06-14 10:50:43 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_5 | iteration=2000/5000
2026-06-14 10:50:47 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_5 | iteration=3000/5000
2026-06-14 10:50:50 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_5 | iteration=4000/5000
2026-06-14 10:50:55 | INFO | src.stress.monte_carlo_runner | Start stress scenario | name=block_bootstrap_10 | iterations=5000
2026-06-14 10:50:58 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_10 | iteration=1000/5000
2026-06-14 10:51:02 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_10 | iteration=2000/5000
2026-06-14 10:51:05 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_10 | iteration=3000/5000
2026-06-14 10:51:08 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_10 | iteration=4000/5000
2026-06-14 10:51:12 | INFO | src.stress.monte_carlo_runner | Start stress scenario | name=block_bootstrap_20 | iterations=5000
2026-06-14 10:51:15 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_20 | iteration=1000/5000
2026-06-14 10:51:18 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_20 | iteration=2000/5000
2026-06-14 10:51:21 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_20 | iteration=3000/5000
2026-06-14 10:51:25 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_20 | iteration=4000/5000
2026-06-14 10:51:31 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_random_5pct | iteration=1000/5000
2026-06-14 10:51:34 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_random_5pct | iteration=2000/5000
2026-06-14 10:51:38 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_random_5pct | iteration=3000/5000
2026-06-14 10:51:41 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_random_5pct | iteration=4000/5000
2026-06-14 10:51:47 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_best_trades_5pct | iteration=1000/5000
2026-06-14 10:51:50 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_best_trades_5pct | iteration=2000/5000
2026-06-14 10:51:52 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_best_trades_5pct | iteration=3000/5000
2026-06-14 10:51:55 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_best_trades_5pct | iteration=4000/5000
2026-06-14 10:52:00 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_5pct | iteration=1000/5000
2026-06-14 10:52:03 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_5pct | iteration=2000/5000
2026-06-14 10:52:06 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_5pct | iteration=3000/5000
2026-06-14 10:52:08 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_5pct | iteration=4000/5000
2026-06-14 10:52:15 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_random_10pct | iteration=1000/5000
2026-06-14 10:52:18 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_random_10pct | iteration=2000/5000
2026-06-14 10:52:21 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_random_10pct | iteration=3000/5000
2026-06-14 10:52:24 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_random_10pct | iteration=4000/5000
2026-06-14 10:52:31 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_best_trades_10pct | iteration=1000/5000
2026-06-14 10:52:33 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_best_trades_10pct | iteration=2000/5000
2026-06-14 10:52:36 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_best_trades_10pct | iteration=3000/5000
2026-06-14 10:52:38 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_best_trades_10pct | iteration=4000/5000
2026-06-14 10:52:44 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_10pct | iteration=1000/5000
2026-06-14 10:52:47 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_10pct | iteration=2000/5000
2026-06-14 10:52:49 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_10pct | iteration=3000/5000
2026-06-14 10:52:52 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_10pct | iteration=4000/5000
2026-06-14 10:52:58 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_random_20pct | iteration=1000/5000
2026-06-14 10:53:01 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_random_20pct | iteration=2000/5000
2026-06-14 10:53:04 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_random_20pct | iteration=3000/5000
2026-06-14 10:53:07 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_random_20pct | iteration=4000/5000
2026-06-14 10:53:13 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_best_trades_20pct | iteration=1000/5000
2026-06-14 10:53:15 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_best_trades_20pct | iteration=2000/5000
2026-06-14 10:53:18 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_best_trades_20pct | iteration=3000/5000
2026-06-14 10:53:20 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_best_trades_20pct | iteration=4000/5000
2026-06-14 10:53:26 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_20pct | iteration=1000/5000
2026-06-14 10:53:28 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_20pct | iteration=2000/5000
2026-06-14 10:53:30 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_20pct | iteration=3000/5000
2026-06-14 10:53:33 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_20pct | iteration=4000/5000
2026-06-14 10:54:42 | INFO | src.stress.monte_carlo_runner | Monte Carlo stress report written | path=/Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/monte_carlo_stress/20260614_095003_usdjpy_fx_swing_trend_reclaim_v1_force_close_friday_20_30/stress_report.html
2026-06-14 10:54:42 | INFO | __main__ | Pipeline command completed | command=monte-carlo-stress
Monte Carlo stress report: /Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/monte_carlo_stress/20260614_095003_usdjpy_fx_swing_trend_reclaim_v1_force_close_friday_20_30/stress_report.html
