2026-06-14 10:59:08 | INFO | __main__ | Pipeline command started | command=monte-carlo-stress
2026-06-14 10:59:08 | INFO | src.stress.monte_carlo_runner | Start stress scenario | name=trade_shuffle | iterations=5000
2026-06-14 10:59:11 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=trade_shuffle | iteration=1000/5000
2026-06-14 10:59:14 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=trade_shuffle | iteration=2000/5000
2026-06-14 10:59:17 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=trade_shuffle | iteration=3000/5000
2026-06-14 10:59:20 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=trade_shuffle | iteration=4000/5000
2026-06-14 10:59:23 | INFO | src.stress.monte_carlo_runner | Start stress scenario | name=bootstrap_resample | iterations=5000
2026-06-14 10:59:26 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=bootstrap_resample | iteration=1000/5000
2026-06-14 10:59:29 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=bootstrap_resample | iteration=2000/5000
2026-06-14 10:59:33 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=bootstrap_resample | iteration=3000/5000
2026-06-14 10:59:36 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=bootstrap_resample | iteration=4000/5000
2026-06-14 10:59:39 | INFO | src.stress.monte_carlo_runner | Start stress scenario | name=block_bootstrap_5 | iterations=5000
2026-06-14 10:59:43 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_5 | iteration=1000/5000
2026-06-14 10:59:46 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_5 | iteration=2000/5000
2026-06-14 10:59:50 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_5 | iteration=3000/5000
2026-06-14 10:59:53 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_5 | iteration=4000/5000
2026-06-14 10:59:57 | INFO | src.stress.monte_carlo_runner | Start stress scenario | name=block_bootstrap_10 | iterations=5000
2026-06-14 11:00:00 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_10 | iteration=1000/5000
2026-06-14 11:00:04 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_10 | iteration=2000/5000
2026-06-14 11:00:07 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_10 | iteration=3000/5000
2026-06-14 11:00:10 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_10 | iteration=4000/5000
2026-06-14 11:00:14 | INFO | src.stress.monte_carlo_runner | Start stress scenario | name=block_bootstrap_20 | iterations=5000
2026-06-14 11:00:17 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_20 | iteration=1000/5000
2026-06-14 11:00:20 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_20 | iteration=2000/5000
2026-06-14 11:00:23 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_20 | iteration=3000/5000
2026-06-14 11:00:27 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=block_bootstrap_20 | iteration=4000/5000
2026-06-14 11:00:34 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_random_5pct | iteration=1000/5000
