2026-06-13 01:04:28 | INFO | __main__ | Pipeline command started | command=weekend-policy-compare
2026-06-13 01:04:28 | INFO | src.backtest.weekend_policy_runner | Weekend variant 1/9 | name=baseline_allow_weekend
2026-06-13 01:04:28 | INFO | src.backtest.weekend_policy_runner | START run weekend variant | variant=baseline_allow_weekend
2026-06-13 01:04:28 | INFO | src.backtest.backtest_engine | START load candles and calculate indicators
2026-06-13 01:04:28 | INFO | src.backtest.backtest_engine | DONE load candles and calculate indicators | elapsed=0.0s
2026-06-13 01:04:28 | INFO | src.backtest.backtest_engine | START generate strategy signals
2026-06-13 01:04:29 | INFO | src.backtest.backtest_engine | DONE generate strategy signals | elapsed=0.4s
2026-06-13 01:04:29 | INFO | src.backtest.backtest_engine | Signals generated | accepted=650, rejected=15,493
2026-06-13 01:04:29 | INFO | src.backtest.backtest_engine | Execution progress | signal=1/650, trades=0, balance=10000.00
2026-06-13 01:04:31 | INFO | src.backtest.backtest_engine | Execution progress | signal=25/650, trades=14, balance=10252.03
2026-06-13 01:04:35 | INFO | src.backtest.backtest_engine | Execution progress | signal=50/650, trades=33, balance=10693.10
2026-06-13 01:04:38 | INFO | src.backtest.backtest_engine | Execution progress | signal=75/650, trades=50, balance=11120.57
2026-06-13 01:04:44 | INFO | src.backtest.backtest_engine | Execution progress | signal=100/650, trades=70, balance=11322.71
2026-06-13 01:04:49 | INFO | src.backtest.backtest_engine | Execution progress | signal=125/650, trades=87, balance=11356.77
2026-06-13 01:04:55 | INFO | src.backtest.backtest_engine | Execution progress | signal=150/650, trades=109, balance=11369.02
2026-06-13 01:05:02 | INFO | src.backtest.backtest_engine | Execution progress | signal=175/650, trades=128, balance=11581.30
2026-06-13 01:05:06 | INFO | src.backtest.backtest_engine | Execution progress | signal=200/650, trades=147, balance=11590.83
2026-06-13 01:05:10 | INFO | src.backtest.backtest_engine | Execution progress | signal=225/650, trades=164, balance=11957.30
2026-06-13 01:05:14 | INFO | src.backtest.backtest_engine | Execution progress | signal=250/650, trades=184, balance=12213.67
2026-06-13 01:05:19 | INFO | src.backtest.backtest_engine | Execution progress | signal=275/650, trades=201, balance=12514.62
2026-06-13 01:05:24 | INFO | src.backtest.backtest_engine | Execution progress | signal=300/650, trades=218, balance=13125.69
2026-06-13 01:05:30 | INFO | src.backtest.backtest_engine | Execution progress | signal=325/650, trades=233, balance=13222.00
2026-06-13 01:05:35 | INFO | src.backtest.backtest_engine | Execution progress | signal=350/650, trades=249, balance=13380.21
2026-06-13 01:05:38 | INFO | src.backtest.backtest_engine | Execution progress | signal=375/650, trades=267, balance=13507.86
2026-06-13 01:05:44 | INFO | src.backtest.backtest_engine | Execution progress | signal=400/650, trades=281, balance=13711.17
2026-06-13 01:05:48 | INFO | src.backtest.backtest_engine | Execution progress | signal=425/650, trades=294, balance=13785.06
2026-06-13 01:05:54 | INFO | src.backtest.backtest_engine | Execution progress | signal=450/650, trades=315, balance=14083.78
2026-06-13 01:06:01 | INFO | src.backtest.backtest_engine | Execution progress | signal=475/650, trades=334, balance=14311.04
2026-06-13 01:06:06 | INFO | src.backtest.backtest_engine | Execution progress | signal=500/650, trades=352, balance=14749.16
2026-06-13 01:06:12 | INFO | src.backtest.backtest_engine | Execution progress | signal=525/650, trades=365, balance=15064.49
2026-06-13 01:06:17 | INFO | src.backtest.backtest_engine | Execution progress | signal=550/650, trades=385, balance=15061.78
2026-06-13 01:06:21 | INFO | src.backtest.backtest_engine | Execution progress | signal=575/650, trades=402, balance=15581.25
2026-06-13 01:06:23 | INFO | src.backtest.backtest_engine | Execution progress | signal=600/650, trades=420, balance=15824.65
2026-06-13 01:06:25 | INFO | src.backtest.backtest_engine | Execution progress | signal=625/650, trades=434, balance=15510.94
2026-06-13 01:06:27 | INFO | src.backtest.backtest_engine | Execution progress | signal=650/650, trades=450, balance=15862.80
2026-06-13 01:06:27 | INFO | src.backtest.backtest_engine | START write backtest reports | output=/Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/weekend_policy_comparison/20260613_000428_usdjpy_fx_swing_trend_reclaim_v1/baseline_allow_weekend
2026-06-13 01:06:28 | INFO | src.backtest.backtest_engine | DONE write backtest reports | elapsed=0.8s
2026-06-13 01:06:28 | INFO | src.backtest.backtest_engine | Backtest complete | trades=450, ending_balance=15862.80, reports=/Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/weekend_policy_comparison/20260613_000428_usdjpy_fx_swing_trend_reclaim_v1/baseline_allow_weekend
2026-06-13 01:06:28 | INFO | src.backtest.weekend_policy_runner | DONE run weekend variant | elapsed=119.8s
2026-06-13 01:06:28 | INFO | src.backtest.weekend_policy_runner | Weekend variant 2/9 | name=block_friday_after_17
2026-06-13 01:06:28 | INFO | src.backtest.weekend_policy_runner | START run weekend variant | variant=block_friday_after_17
2026-06-13 01:06:28 | INFO | src.backtest.backtest_engine | START load candles and calculate indicators
2026-06-13 01:06:28 | INFO | src.backtest.backtest_engine | DONE load candles and calculate indicators | elapsed=0.1s
2026-06-13 01:06:28 | INFO | src.backtest.backtest_engine | START generate strategy signals
2026-06-13 01:06:28 | INFO | src.backtest.backtest_engine | DONE generate strategy signals | elapsed=0.4s
